Species,River,Site,Quadrat,Live,Dead
L. fragilis,Sabine,3,25,,
L. fragilis,Sabine,3,26,,
L. fragilis,Sabine,3,27,,
Li. Subrostrata,Sabine,3,1,,
Li. Subrostrata,Sabine,3,2,,
Li. Subrostrata,Sabine,3,3,,
Li. Subrostrata,Sabine,3,4,,
Li. Subrostrata,Sabine,3,5,,
Li. Subrostrata,Sabine,3,6,,
Li. Subrostrata,Sabine,3,7,,
Li. Subrostrata,Sabine,3,8,,
Li. Subrostrata,Sabine,3,9,,
Li. Subrostrata,Sabine,3,1,,
Li. Subrostrata,Sabine,3,11,,
Li. Subrostrata,Sabine,3,12,,
Li. Subrostrata,Sabine,3,13,,
Li. Subrostrata,Sabine,3,14,,
Li. Subrostrata,Sabine,3,15,,
Li. Subrostrata,Sabine,3,16,,
Li. Subrostrata,Sabine,3,17,,
Li. Subrostrata,Sabine,3,18,,
Li. Subrostrata,Sabine,3,19,,
Li. Subrostrata,Sabine,3,2,,
Li. Subrostrata,Sabine,3,21,,
Li. Subrostrata,Sabine,3,22,,
Li. Subrostrata,Sabine,3,23,,
Li. Subrostrata,Sabine,3,24,,
Li. Subrostrata,Sabine,3,25,,
Li. Subrostrata,Sabine,3,26,,
Li. Subrostrata,Sabine,3,27,,
M. nervosa,Sabine,3,1,,
M. nervosa,Sabine,3,2,,
M. nervosa,Sabine,3,3,,
M. nervosa,Sabine,3,4,,
M. nervosa,Sabine,3,5,,
M. nervosa,Sabine,3,6,,
M. nervosa,Sabine,3,7,,
M. nervosa,Sabine,3,8,,
M. nervosa,Sabine,3,9,,
M. nervosa,Sabine,3,1,,
M. nervosa,Sabine,3,11,,
M. nervosa,Sabine,3,12,,
M. nervosa,Sabine,3,13,,
M. nervosa,Sabine,3,14,,
M. nervosa,Sabine,3,15,,
M. nervosa,Sabine,3,16,,
M. nervosa,Sabine,3,17,,
M. nervosa,Sabine,3,18,,
M. nervosa,Sabine,3,19,,
M. nervosa,Sabine,3,2,,
M. nervosa,Sabine,3,21,,
M. nervosa,Sabine,3,22,,
M. nervosa,Sabine,3,23,,
M. nervosa,Sabine,3,24,,
M. nervosa,Sabine,3,25,,
M. nervosa,Sabine,3,26,,
M. nervosa,Sabine,3,27,,
O. jacksoniana,Sabine,3,1,,
O. jacksoniana,Sabine,3,2,,
O. jacksoniana,Sabine,3,3,,
O. jacksoniana,Sabine,3,4,,
O. jacksoniana,Sabine,3,5,,
O. jacksoniana,Sabine,3,6,,
O. jacksoniana,Sabine,3,7,,
O. jacksoniana,Sabine,3,8,,
O. jacksoniana,Sabine,3,9,,
O. jacksoniana,Sabine,3,1,,
O. jacksoniana,Sabine,3,11,,
O. jacksoniana,Sabine,3,12,,
O. jacksoniana,Sabine,3,13,,
O. jacksoniana,Sabine,3,14,,
O. jacksoniana,Sabine,3,15,,
O. jacksoniana,Sabine,3,16,,
O. jacksoniana,Sabine,3,17,,
O. jacksoniana,Sabine,3,18,,
O. jacksoniana,Sabine,3,19,,
O. jacksoniana,Sabine,3,2,,
O. jacksoniana,Sabine,3,21,,
O. jacksoniana,Sabine,3,22,,
O. jacksoniana,Sabine,3,23,,
O. jacksoniana,Sabine,3,24,,
O. jacksoniana,Sabine,3,25,,
O. jacksoniana,Sabine,3,26,,
O. jacksoniana,Sabine,3,27,,
O. reflexa,Sabine,3,1,,
O. reflexa,Sabine,3,2,,
O. reflexa,Sabine,3,3,,
O. reflexa,Sabine,3,4,,
O. reflexa,Sabine,3,5,,
O. reflexa,Sabine,3,6,,
O. reflexa,Sabine,3,7,,
O. reflexa,Sabine,3,8,,
O. reflexa,Sabine,3,9,,
O. reflexa,Sabine,3,1,,
O. reflexa,Sabine,3,11,,
O. reflexa,Sabine,3,12,,
O. reflexa,Sabine,3,13,,
O. reflexa,Sabine,3,14,,
O. reflexa,Sabine,3,15,,
O. reflexa,Sabine,3,16,,
O. reflexa,Sabine,3,17,,
O. reflexa,Sabine,3,18,,
O. reflexa,Sabine,3,19,,
O. reflexa,Sabine,3,2,,
O. reflexa,Sabine,3,21,,
O. reflexa,Sabine,3,22,,
O. reflexa,Sabine,3,23,,
O. reflexa,Sabine,3,24,,
O. reflexa,Sabine,3,25,,
O. reflexa,Sabine,3,26,,
O. reflexa,Sabine,3,27,,
P. dombeyanus,Sabine,3,1,,
P. dombeyanus,Sabine,3,2,,
P. dombeyanus,Sabine,3,3,,
P. dombeyanus,Sabine,3,4,,
P. dombeyanus,Sabine,3,5,,
P. dombeyanus,Sabine,3,6,,
P. dombeyanus,Sabine,3,7,,
P. dombeyanus,Sabine,3,8,,
P. dombeyanus,Sabine,3,9,,
P. dombeyanus,Sabine,3,1,,
P. dombeyanus,Sabine,3,11,,
P. dombeyanus,Sabine,3,12,,
P. dombeyanus,Sabine,3,13,,
P. dombeyanus,Sabine,3,14,,
P. dombeyanus,Sabine,3,15,,
P. dombeyanus,Sabine,3,16,,
P. dombeyanus,Sabine,3,17,,
P. dombeyanus,Sabine,3,18,,
P. dombeyanus,Sabine,3,19,,
P. dombeyanus,Sabine,3,2,,
P. dombeyanus,Sabine,3,21,,
P. dombeyanus,Sabine,3,22,,
P. dombeyanus,Sabine,3,23,,
P. dombeyanus,Sabine,3,24,,
P. dombeyanus,Sabine,3,25,,
P. dombeyanus,Sabine,3,26,,
P. dombeyanus,Sabine,3,27,,
P. riddellii,Sabine,3,1,,
P. riddellii,Sabine,3,2,,
P. riddellii,Sabine,3,3,,
P. riddellii,Sabine,3,4,,
P. riddellii,Sabine,3,5,,
P. riddellii,Sabine,3,6,,
P. riddellii,Sabine,3,7,,
P. riddellii,Sabine,3,8,,
P. riddellii,Sabine,3,9,,
P. riddellii,Sabine,3,1,,
P. riddellii,Sabine,3,11,,
P. riddellii,Sabine,3,12,,
P. riddellii,Sabine,3,13,,
P. riddellii,Sabine,3,14,,
P. riddellii,Sabine,3,15,,
P. riddellii,Sabine,3,16,,
P. riddellii,Sabine,3,17,,
P. riddellii,Sabine,3,18,,
P. riddellii,Sabine,3,19,,
P. riddellii,Sabine,3,2,,
P. riddellii,Sabine,3,21,,
P. riddellii,Sabine,3,22,,
P. riddellii,Sabine,3,23,,
P. riddellii,Sabine,3,24,,
P. riddellii,Sabine,3,25,,
P. riddellii,Sabine,3,26,,
P. riddellii,Sabine,3,27,,
P. amphichaenus,Sabine,3,1,,
P. amphichaenus,Sabine,3,2,,
P. amphichaenus,Sabine,3,3,,
P. amphichaenus,Sabine,3,4,,
P. amphichaenus,Sabine,3,5,,
P. amphichaenus,Sabine,3,6,,
P. amphichaenus,Sabine,3,7,,
P. amphichaenus,Sabine,3,8,,
P. amphichaenus,Sabine,3,9,,
P. amphichaenus,Sabine,3,1,,
P. amphichaenus,Sabine,3,11,,
P. amphichaenus,Sabine,3,12,,
P. amphichaenus,Sabine,3,13,,
P. amphichaenus,Sabine,3,14,,
P. amphichaenus,Sabine,3,15,,
P. amphichaenus,Sabine,3,16,,
P. amphichaenus,Sabine,3,17,,
P. amphichaenus,Sabine,3,18,,
P. amphichaenus,Sabine,3,19,,
P. amphichaenus,Sabine,3,2,,
P. amphichaenus,Sabine,3,21,,
P. amphichaenus,Sabine,3,22,,
P. amphichaenus,Sabine,3,23,,
P. amphichaenus,Sabine,3,24,,
P. amphichaenus,Sabine,3,25,,
P. amphichaenus,Sabine,3,26,,
P. amphichaenus,Sabine,3,27,,
P. purpurtus ,Sabine,3,1,,
P. purpurtus ,Sabine,3,2,,
P. purpurtus ,Sabine,3,3,,
P. purpurtus ,Sabine,3,4,,
P. purpurtus ,Sabine,3,5,,
P. purpurtus ,Sabine,3,6,,
P. purpurtus ,Sabine,3,7,,
P. purpurtus ,Sabine,3,8,,
P. purpurtus ,Sabine,3,9,,
P. purpurtus ,Sabine,3,1,,
P. purpurtus ,Sabine,3,11,,
P. purpurtus ,Sabine,3,12,,
P. purpurtus ,Sabine,3,13,,
P. purpurtus ,Sabine,3,14,,
P. purpurtus ,Sabine,3,15,,
P. purpurtus ,Sabine,3,16,,
P. purpurtus ,Sabine,3,17,,
P. purpurtus ,Sabine,3,18,,
P. purpurtus ,Sabine,3,19,,
P. purpurtus ,Sabine,3,2,,
P. purpurtus ,Sabine,3,21,,
P. purpurtus ,Sabine,3,22,,
P. purpurtus ,Sabine,3,23,,
P. purpurtus ,Sabine,3,24,,
P. purpurtus ,Sabine,3,25,,
P. purpurtus ,Sabine,3,26,,
P. purpurtus ,Sabine,3,27,,
P. grandis,Sabine,3,1,,
P. grandis,Sabine,3,2,,
P. grandis,Sabine,3,3,,
P. grandis,Sabine,3,4,,
P. grandis,Sabine,3,5,,
P. grandis,Sabine,3,6,,
P. grandis,Sabine,3,7,,
P. grandis,Sabine,3,8,,
P. grandis,Sabine,3,9,,
P. grandis,Sabine,3,1,,
P. grandis,Sabine,3,11,,
P. grandis,Sabine,3,12,,
P. grandis,Sabine,3,13,,
P. grandis,Sabine,3,14,,
P. grandis,Sabine,3,15,,
P. grandis,Sabine,3,16,,
P. grandis,Sabine,3,17,,
P. grandis,Sabine,3,18,,
P. grandis,Sabine,3,19,,
P. grandis,Sabine,3,2,,
P. grandis,Sabine,3,21,,
P. grandis,Sabine,3,22,,
P. grandis,Sabine,3,23,,
P. grandis,Sabine,3,24,,
P. grandis,Sabine,3,25,,
P. grandis,Sabine,3,26,,
P. grandis,Sabine,3,27,,
Q. apiculata,Sabine,3,1,,
Q. apiculata,Sabine,3,2,,
Q. apiculata,Sabine,3,3,,
Q. apiculata,Sabine,3,4,,
Q. apiculata,Sabine,3,5,1,
Q. apiculata,Sabine,3,6,,
Q. apiculata,Sabine,3,7,,
Q. apiculata,Sabine,3,8,,
Q. apiculata,Sabine,3,9,,
Q. apiculata,Sabine,3,1,,
Q. apiculata,Sabine,3,11,,
Q. apiculata,Sabine,3,12,,
Q. apiculata,Sabine,3,13,,
Q. apiculata,Sabine,3,14,,
Q. apiculata,Sabine,3,15,,
Q. apiculata,Sabine,3,16,,
Q. apiculata,Sabine,3,17,,
Q. apiculata,Sabine,3,18,,
Q. apiculata,Sabine,3,19,,
Q. apiculata,Sabine,3,2,,
Q. apiculata,Sabine,3,21,,
Q. apiculata,Sabine,3,22,,
Q. apiculata,Sabine,3,23,,
Q. apiculata,Sabine,3,24,,
Q. apiculata,Sabine,3,25,,
Q. apiculata,Sabine,3,26,,
Q. apiculata,Sabine,3,27,,
Q. mortoni,Sabine,3,1,,
Q. mortoni,Sabine,3,2,,
Q. mortoni,Sabine,3,3,,
Q. mortoni,Sabine,3,4,,
Q. mortoni,Sabine,3,5,,
Q. mortoni,Sabine,3,6,,
Q. mortoni,Sabine,3,7,2,
Q. mortoni,Sabine,3,8,1,
Q. mortoni,Sabine,3,9,,
Q. mortoni,Sabine,3,1,,
Q. mortoni,Sabine,3,11,,
Q. mortoni,Sabine,3,12,,
Q. mortoni,Sabine,3,13,,
Q. mortoni,Sabine,3,14,,
Q. mortoni,Sabine,3,15,,
Q. mortoni,Sabine,3,16,,
Q. mortoni,Sabine,3,17,,
Q. mortoni,Sabine,3,18,,
Q. mortoni,Sabine,3,19,,
Q. mortoni,Sabine,3,2,,
Q. mortoni,Sabine,3,21,,
Q. mortoni,Sabine,3,22,,
Q. mortoni,Sabine,3,23,,
Q. mortoni,Sabine,3,24,1,
Q. mortoni,Sabine,3,25,,
Q. mortoni,Sabine,3,26,,
Q. mortoni,Sabine,3,27,,
Q. nobilis,Sabine,3,1,1,
Q. nobilis,Sabine,3,2,,
Q. nobilis,Sabine,3,3,,
Q. nobilis,Sabine,3,4,,
Q. nobilis,Sabine,3,5,,
Q. nobilis,Sabine,3,6,,
Q. nobilis,Sabine,3,7,,
Q. nobilis,Sabine,3,8,,
Q. nobilis,Sabine,3,9,,
Q. nobilis,Sabine,3,1,,
Q. nobilis,Sabine,3,11,,
Q. nobilis,Sabine,3,12,,
Q. nobilis,Sabine,3,13,,
Q. nobilis,Sabine,3,14,,
Q. nobilis,Sabine,3,15,,
Q. nobilis,Sabine,3,16,,
Q. nobilis,Sabine,3,17,,
Q. nobilis,Sabine,3,18,,
Q. nobilis,Sabine,3,19,,
Q. nobilis,Sabine,3,2,,
Q. nobilis,Sabine,3,21,,
Q. nobilis,Sabine,3,22,,
Q. nobilis,Sabine,3,23,,
Q. nobilis,Sabine,3,24,,
Q. nobilis,Sabine,3,25,,
Q. nobilis,Sabine,3,26,,
Q. nobilis,Sabine,3,27,,
Q.verrucosa,Sabine,3,1,,
Q.verrucosa,Sabine,3,2,,
Q.verrucosa,Sabine,3,3,,
Q.verrucosa,Sabine,3,4,,
Q.verrucosa,Sabine,3,5,,
Q.verrucosa,Sabine,3,6,,
Q.verrucosa,Sabine,3,7,,
Q.verrucosa,Sabine,3,8,,
Q.verrucosa,Sabine,3,9,,
Q.verrucosa,Sabine,3,1,,
Q.verrucosa,Sabine,3,11,,
Q.verrucosa,Sabine,3,12,,
Q.verrucosa,Sabine,3,13,,
Q.verrucosa,Sabine,3,14,,
Q.verrucosa,Sabine,3,15,,
Q.verrucosa,Sabine,3,16,,
Q.verrucosa,Sabine,3,17,,
Q.verrucosa,Sabine,3,18,,
Q.verrucosa,Sabine,3,19,,
Q.verrucosa,Sabine,3,2,,
Q.verrucosa,Sabine,3,21,,
Q.verrucosa,Sabine,3,22,,
Q.verrucosa,Sabine,3,23,,
Q.verrucosa,Sabine,3,24,,
Q.verrucosa,Sabine,3,25,,
Q.verrucosa,Sabine,3,26,,
Q.verrucosa,Sabine,3,27,,
S. undulatus,Sabine,3,1,,
S. undulatus,Sabine,3,2,,
S. undulatus,Sabine,3,3,,
S. undulatus,Sabine,3,4,,
S. undulatus,Sabine,3,5,,
S. undulatus,Sabine,3,6,,
S. undulatus,Sabine,3,7,,
S. undulatus,Sabine,3,8,,
S. undulatus,Sabine,3,9,,
S. undulatus,Sabine,3,1,,
S. undulatus,Sabine,3,11,,
S. undulatus,Sabine,3,12,,
S. undulatus,Sabine,3,13,,
S. undulatus,Sabine,3,14,,
S. undulatus,Sabine,3,15,,
S. undulatus,Sabine,3,16,,
S. undulatus,Sabine,3,17,,
S. undulatus,Sabine,3,18,,
S. undulatus,Sabine,3,19,,
S. undulatus,Sabine,3,2,,
S. undulatus,Sabine,3,21,,
S. undulatus,Sabine,3,22,,
S. undulatus,Sabine,3,23,,
S. undulatus,Sabine,3,24,,
S. undulatus,Sabine,3,25,,
S. undulatus,Sabine,3,26,,
S. undulatus,Sabine,3,27,,
T. parvum,Sabine,3,1,,
T. parvum,Sabine,3,2,,
T. parvum,Sabine,3,3,,
T. parvum,Sabine,3,4,,
T. parvum,Sabine,3,5,,
T. parvum,Sabine,3,6,,
T. parvum,Sabine,3,7,,
T. parvum,Sabine,3,8,,
T. parvum,Sabine,3,9,,
T. parvum,Sabine,3,1,,
T. parvum,Sabine,3,11,,
T. parvum,Sabine,3,12,,
T. parvum,Sabine,3,13,,
T. parvum,Sabine,3,14,,
T. parvum,Sabine,3,15,,
T. parvum,Sabine,3,16,,
T. parvum,Sabine,3,17,,
T. parvum,Sabine,3,18,,
T. parvum,Sabine,3,19,,
T. parvum,Sabine,3,2,,
T. parvum,Sabine,3,21,,
T. parvum,Sabine,3,22,,
T. parvum,Sabine,3,23,,
T. parvum,Sabine,3,24,,
T. parvum,Sabine,3,25,,
T. parvum,Sabine,3,26,,
T. parvum,Sabine,3,27,,
T. texasense,Sabine,3,1,,
T. texasense,Sabine,3,2,,
T. texasense,Sabine,3,3,,
T. texasense,Sabine,3,4,,
T. texasense,Sabine,3,5,,
T. texasense,Sabine,3,6,,
T. texasense,Sabine,3,7,,
T. texasense,Sabine,3,8,,
T. texasense,Sabine,3,9,,
T. texasense,Sabine,3,1,,
T. texasense,Sabine,3,11,,
T. texasense,Sabine,3,12,,
T. texasense,Sabine,3,13,,
T. texasense,Sabine,3,14,,
T. texasense,Sabine,3,15,,
T. texasense,Sabine,3,16,,
T. texasense,Sabine,3,17,,
T. texasense,Sabine,3,18,,
T. texasense,Sabine,3,19,,
T. texasense,Sabine,3,2,,
T. texasense,Sabine,3,21,,
T. texasense,Sabine,3,22,,
T. texasense,Sabine,3,23,,
T. texasense,Sabine,3,24,,
T. texasense,Sabine,3,25,,
T. texasense,Sabine,3,26,,
T. texasense,Sabine,3,27,,
T. truncata,Sabine,3,1,,
T. truncata,Sabine,3,2,,
T. truncata,Sabine,3,3,,
T. truncata,Sabine,3,4,,
T. truncata,Sabine,3,5,,
T. truncata,Sabine,3,6,,
T. truncata,Sabine,3,7,,
T. truncata,Sabine,3,8,,
T. truncata,Sabine,3,9,,
T. truncata,Sabine,3,1,,
T. truncata,Sabine,3,11,,
T. truncata,Sabine,3,12,,
T. truncata,Sabine,3,13,,
T. truncata,Sabine,3,14,,
T. truncata,Sabine,3,15,,
T. truncata,Sabine,3,16,,
T. truncata,Sabine,3,17,,
T. truncata,Sabine,3,18,,
T. truncata,Sabine,3,19,,
T. truncata,Sabine,3,2,,
T. truncata,Sabine,3,21,,
T. truncata,Sabine,3,22,,
T. truncata,Sabine,3,23,,
T. truncata,Sabine,3,24,,
T. truncata,Sabine,3,25,,
T. truncata,Sabine,3,26,,
T. truncata,Sabine,3,27,,
U. declivis,Sabine,3,1,,
U. declivis,Sabine,3,2,,
U. declivis,Sabine,3,3,,
U. declivis,Sabine,3,4,,
U. declivis,Sabine,3,5,,
U. declivis,Sabine,3,6,,
U. declivis,Sabine,3,7,,
U. declivis,Sabine,3,8,,
U. declivis,Sabine,3,9,,
U. declivis,Sabine,3,1,,
U. declivis,Sabine,3,11,,
U. declivis,Sabine,3,12,,
U. declivis,Sabine,3,13,,
U. declivis,Sabine,3,14,,
U. declivis,Sabine,3,15,,
U. declivis,Sabine,3,16,,
U. declivis,Sabine,3,17,,
U. declivis,Sabine,3,18,,
U. declivis,Sabine,3,19,,
U. declivis,Sabine,3,2,,
U. declivis,Sabine,3,21,,
U. declivis,Sabine,3,22,,
U. declivis,Sabine,3,23,,
U. declivis,Sabine,3,24,,
U. declivis,Sabine,3,25,,
U. declivis,Sabine,3,26,,
U. declivis,Sabine,3,27,,
U. imbecillis,Sabine,3,1,,
U. imbecillis,Sabine,3,2,,
U. imbecillis,Sabine,3,3,,
U. imbecillis,Sabine,3,4,,
U. imbecillis,Sabine,3,5,,
U. imbecillis,Sabine,3,6,,
U. imbecillis,Sabine,3,7,,
U. imbecillis,Sabine,3,8,,
U. imbecillis,Sabine,3,9,,
U. imbecillis,Sabine,3,1,,
U. imbecillis,Sabine,3,11,,
U. imbecillis,Sabine,3,12,,
U. imbecillis,Sabine,3,13,,
U. imbecillis,Sabine,3,14,,
U. imbecillis,Sabine,3,15,,
U. imbecillis,Sabine,3,16,,
U. imbecillis,Sabine,3,17,,
U. imbecillis,Sabine,3,18,,
U. imbecillis,Sabine,3,19,,
U. imbecillis,Sabine,3,2,,
U. imbecillis,Sabine,3,21,,
U. imbecillis,Sabine,3,22,,
U. imbecillis,Sabine,3,23,,
U. imbecillis,Sabine,3,24,,
U. imbecillis,Sabine,3,25,,
U. imbecillis,Sabine,3,26,,
U. imbecillis,Sabine,3,27,,
V. lienosa,Sabine,3,1,,
V. lienosa,Sabine,3,2,,
V. lienosa,Sabine,3,3,,
V. lienosa,Sabine,3,4,,
V. lienosa,Sabine,3,5,,
V. lienosa,Sabine,3,6,,
V. lienosa,Sabine,3,7,,
V. lienosa,Sabine,3,8,,
V. lienosa,Sabine,3,9,,
V. lienosa,Sabine,3,1,,
V. lienosa,Sabine,3,11,,
V. lienosa,Sabine,3,12,,
V. lienosa,Sabine,3,13,,
V. lienosa,Sabine,3,14,,
V. lienosa,Sabine,3,15,,
V. lienosa,Sabine,3,16,,
V. lienosa,Sabine,3,17,,
V. lienosa,Sabine,3,18,,
V. lienosa,Sabine,3,19,,
V. lienosa,Sabine,3,2,,
V. lienosa,Sabine,3,21,,
V. lienosa,Sabine,3,22,,
V. lienosa,Sabine,3,23,,
V. lienosa,Sabine,3,24,,
V. lienosa,Sabine,3,25,,
V. lienosa,Sabine,3,26,,
V. lienosa,Sabine,3,27,,
A. plicata,Neches,4,1,,
A. plicata,Neches,4,2,,
A. plicata,Neches,4,3,,
A. plicata,Neches,4,4,,
A. plicata,Neches,4,5,,
A. plicata,Neches,4,6,,
A. plicata,Neches,4,7,,
A. plicata,Neches,4,8,,
A. plicata,Neches,4,9,,
A. plicata,Neches,4,1,1,
A. plicata,Neches,4,11,,
A. plicata,Neches,4,12,,
A. plicata,Neches,4,13,,
A. plicata,Neches,4,14,,
A. plicata,Neches,4,15,,
A. plicata,Neches,4,16,,
A. plicata,Neches,4,17,,
A. plicata,Neches,4,18,,
A. plicata,Neches,4,19,,
A. plicata,Neches,4,2,,
A. plicata,Neches,4,21,,
A. plicata,Neches,4,22,,
A. plicata,Neches,4,23,,
A. plicata,Neches,4,24,,
A. plicata,Neches,4,25,,
A. plicata,Neches,4,26,,
A. plicata,Neches,4,27,,
A. suborbiculta,Neches,4,1,,
A. suborbiculta,Neches,4,2,,
A. suborbiculta,Neches,4,3,,
A. suborbiculta,Neches,4,4,,
A. suborbiculta,Neches,4,5,,
A. suborbiculta,Neches,4,6,,
A. suborbiculta,Neches,4,7,,
A. suborbiculta,Neches,4,8,,
A. suborbiculta,Neches,4,9,,
A. suborbiculta,Neches,4,1,,
A. suborbiculta,Neches,4,11,,
A. suborbiculta,Neches,4,12,,
A. suborbiculta,Neches,4,13,,
A. suborbiculta,Neches,4,14,,
A. suborbiculta,Neches,4,15,,
A. suborbiculta,Neches,4,16,,
A. suborbiculta,Neches,4,17,,
A. suborbiculta,Neches,4,18,,
A. suborbiculta,Neches,4,19,,
A. suborbiculta,Neches,4,2,,
A. suborbiculta,Neches,4,21,,
A. suborbiculta,Neches,4,22,,
A. suborbiculta,Neches,4,23,,
A. suborbiculta,Neches,4,24,,
A. suborbiculta,Neches,4,25,,
A. suborbiculta,Neches,4,26,,
A. suborbiculta,Neches,4,27,,
A. confragosus,Neches,4,1,,
A. confragosus,Neches,4,2,,
A. confragosus,Neches,4,3,,
A. confragosus,Neches,4,4,,
A. confragosus,Neches,4,5,,
A. confragosus,Neches,4,6,,
A. confragosus,Neches,4,7,,
A. confragosus,Neches,4,8,,
A. confragosus,Neches,4,9,,
A. confragosus,Neches,4,1,,
A. confragosus,Neches,4,11,,
A. confragosus,Neches,4,12,,
A. confragosus,Neches,4,13,,
A. confragosus,Neches,4,14,,
A. confragosus,Neches,4,15,,
A. confragosus,Neches,4,16,,
A. confragosus,Neches,4,17,,
A. confragosus,Neches,4,18,,
A. confragosus,Neches,4,19,,
A. confragosus,Neches,4,2,,
A. confragosus,Neches,4,21,,
A. confragosus,Neches,4,22,,
A. confragosus,Neches,4,23,,
A. confragosus,Neches,4,24,,
A. confragosus,Neches,4,25,,
A. confragosus,Neches,4,26,,
A. confragosus,Neches,4,27,,
F. askewi,Neches,4,1,,
F. askewi,Neches,4,2,1,
F. askewi,Neches,4,3,,
F. askewi,Neches,4,4,1,
F. askewi,Neches,4,5,,
F. askewi,Neches,4,6,,
F. askewi,Neches,4,7,1,
F. askewi,Neches,4,8,,
F. askewi,Neches,4,9,,
F. askewi,Neches,4,1,1,
F. askewi,Neches,4,11,,
F. askewi,Neches,4,12,,
F. askewi,Neches,4,13,,
F. askewi,Neches,4,14,,
F. askewi,Neches,4,15,,
F. askewi,Neches,4,16,,
F. askewi,Neches,4,17,,
F. askewi,Neches,4,18,,
F. askewi,Neches,4,19,,
F. askewi,Neches,4,2,,
F. askewi,Neches,4,21,,
F. askewi,Neches,4,22,,
F. askewi,Neches,4,23,,
F. askewi,Neches,4,24,,
F. askewi,Neches,4,25,,
F. askewi,Neches,4,26,,
F. askewi,Neches,4,27,,1
L. hydiana,Neches,4,1,,
L. hydiana,Neches,4,2,,
L. hydiana,Neches,4,3,,
L. hydiana,Neches,4,4,,
L. hydiana,Neches,4,5,,
L. hydiana,Neches,4,6,,
L. hydiana,Neches,4,7,,
L. hydiana,Neches,4,8,,
L. hydiana,Neches,4,9,,
L. hydiana,Neches,4,1,,
L. hydiana,Neches,4,11,,
L. hydiana,Neches,4,12,,
L. hydiana,Neches,4,13,,
L. hydiana,Neches,4,14,,
L. hydiana,Neches,4,15,,
L. hydiana,Neches,4,16,,
L. hydiana,Neches,4,17,,
L. hydiana,Neches,4,18,,
L. hydiana,Neches,4,19,,
L. hydiana,Neches,4,2,,
L. hydiana,Neches,4,21,,
L. hydiana,Neches,4,22,,
L. hydiana,Neches,4,23,,
L. hydiana,Neches,4,24,,
L. hydiana,Neches,4,25,,
L. hydiana,Neches,4,26,,
L. hydiana,Neches,4,27,,
La. Satura,Neches,4,1,,
La. Satura,Neches,4,2,,
La. Satura,Neches,4,3,,
La. Satura,Neches,4,4,,
La. Satura,Neches,4,5,,
La. Satura,Neches,4,6,,
La. Satura,Neches,4,7,,
La. Satura,Neches,4,8,1,
La. Satura,Neches,4,9,,
La. Satura,Neches,4,1,,
La. Satura,Neches,4,11,,
La. Satura,Neches,4,12,,
La. Satura,Neches,4,13,,
La. Satura,Neches,4,14,,
La. Satura,Neches,4,15,1,
La. Satura,Neches,4,16,,
La. Satura,Neches,4,17,,
La. Satura,Neches,4,18,,
La. Satura,Neches,4,19,,
La. Satura,Neches,4,2,,
La. Satura,Neches,4,21,,
La. Satura,Neches,4,22,,
La. Satura,Neches,4,23,,
La. Satura,Neches,4,24,,
La. Satura,Neches,4,25,,
La. Satura,Neches,4,26,,
La. Satura,Neches,4,27,,
L. teres,Neches,4,1,,
L. teres,Neches,4,2,1,
L. teres,Neches,4,3,,
L. teres,Neches,4,4,,
L. teres,Neches,4,5,,
L. teres,Neches,4,6,,
L. teres,Neches,4,7,,
L. teres,Neches,4,8,,
L. teres,Neches,4,9,,
L. teres,Neches,4,1,,
L. teres,Neches,4,11,,
L. teres,Neches,4,12,,
L. teres,Neches,4,13,,
L. teres,Neches,4,14,,
L. teres,Neches,4,15,,
L. teres,Neches,4,16,,
L. teres,Neches,4,17,,
L. teres,Neches,4,18,,
L. teres,Neches,4,19,,
L. teres,Neches,4,2,,
L. teres,Neches,4,21,,
L. teres,Neches,4,22,,
L. teres,Neches,4,23,,
L. teres,Neches,4,24,,
L. teres,Neches,4,25,,
L. teres,Neches,4,26,,
L. teres,Neches,4,27,,
L. fragilis,Neches,4,1,,
L. fragilis,Neches,4,2,,
L. fragilis,Neches,4,3,,
L. fragilis,Neches,4,4,,
L. fragilis,Neches,4,5,,
L. fragilis,Neches,4,6,,
L. fragilis,Neches,4,7,,
L. fragilis,Neches,4,8,,
L. fragilis,Neches,4,9,,
L. fragilis,Neches,4,1,,
L. fragilis,Neches,4,11,,
L. fragilis,Neches,4,12,,
L. fragilis,Neches,4,13,,
L. fragilis,Neches,4,14,,
L. fragilis,Neches,4,15,,
L. fragilis,Neches,4,16,,
L. fragilis,Neches,4,17,,
L. fragilis,Neches,4,18,,
L. fragilis,Neches,4,19,,
L. fragilis,Neches,4,2,,
L. fragilis,Neches,4,21,,
L. fragilis,Neches,4,22,,
L. fragilis,Neches,4,23,,
L. fragilis,Neches,4,24,,
L. fragilis,Neches,4,25,,
L. fragilis,Neches,4,26,,
L. fragilis,Neches,4,27,,
Li. Subrostrata,Neches,4,1,,
Li. Subrostrata,Neches,4,2,,
Li. Subrostrata,Neches,4,3,,
Li. Subrostrata,Neches,4,4,,
Li. Subrostrata,Neches,4,5,,
Li. Subrostrata,Neches,4,6,,
Li. Subrostrata,Neches,4,7,,
Li. Subrostrata,Neches,4,8,,
Li. Subrostrata,Neches,4,9,,
Li. Subrostrata,Neches,4,1,,
Li. Subrostrata,Neches,4,11,,
Li. Subrostrata,Neches,4,12,,
Li. Subrostrata,Neches,4,13,,
